year,month,week,nuts,totalmort,mean_maxt,mean_mint,mean_avgt,precipitation,snow
2018,10,44,NL124,54,15.8930025100708,8.80917739868164,12.363991737365723,1.2452714443206787,0
2018,10,44,NL125,31,15.909814834594727,8.505064010620117,12.208024978637695,1.0830044746398926,0
2018,10,44,NL126,38,16.333513259887695,7.789068698883057,12.059995651245117,1.172067642211914,0
2018,10,44,NL131,34,16.492921829223633,7.306880950927734,11.908929824829102,1.1009924411773682,0
2018,10,44,NL132,39,16.682592391967773,7.064356803894043,11.866086959838867,1.0937787294387817,0
2018,10,44,NL133,27,16.564149856567383,7.3055219650268555,11.947954177856445,1.2346128225326538,0
2018,10,44,NL211,57,16.62289810180664,7.442962169647217,12.035294532775879,1.263431429862976,0
2018,10,44,NL212,28,16.83934211730957,7.132468223571777,11.99672794342041,1.0825499296188354,0
2018,10,44,NL213,119,17.017147064208984,6.926329135894775,11.970104217529297,0.9725248217582703,0
2018,10,44,NL221,111,16.802064895629883,7.554612159729004,12.186259269714355,1.0925878286361694,0
2018,10,44,NL224,30,17.310054779052734,7.436389923095703,12.39362907409668,1.0675771236419678,0
2018,10,44,NL225,79,17.16817855834961,7.132126808166504,12.149011611938477,0.9419125914573669,0
2018,10,44,NL226,126,17.241657257080078,7.538590431213379,12.401558876037598,0.949209451675415,0
2018,10,44,NL230,52,16.486446380615234,7.914259433746338,12.19533634185791,1.2298325300216675,0
2018,10,44,NL310,173,16.807653427124023,7.93710470199585,12.390363693237305,1.125915288925171,0
2018,10,44,NL321,71,16.0008487701416,9.012073516845703,12.519279479980469,1.34807288646698,0
2018,10,44,NL323,29,16.274192810058594,8.925806045532227,12.612903594970703,1.6322580575942993,0
2018,10,44,NL324,33,16.41733169555664,8.832366943359375,12.635997772216797,1.5352182388305664,0
2018,10,44,NL325,26,16.27492332458496,8.91120433807373,12.60472583770752,1.6239346265792847,0
2018,10,44,NL327,50,16.639957427978516,8.177447319030762,12.420563697814941,1.2654887437820435,0
